scenario,model,survival_200k,avg_reward_200k,survival_500k,avg_reward_500k,survival_1M,avg_reward_1M
Baseline,dqn_accel,51.0,9.74,75.0,17.96,87.0,20.62
Baseline,dqn_baseline,22.0,6.01,68.0,17.61,82.0,20.11
Baseline,dqn_plr,0.0,-4.45,0.0,-3.44,43.0,-1.06
Baseline,ppo,78.0,3.42,81.0,10.13,92.0,15.1
Easy,dqn_accel,84.0,11.73,60.0,9.54,83.0,12.32
Easy,dqn_baseline,32.0,3.79,28.0,4.03,54.0,9.11
Easy,dqn_plr,1.0,-6.09,1.0,-5.19,57.0,-2.38
Easy,ppo,41.0,-1.83,36.0,0.23,80.0,10.68
Expert,dqn_accel,0.0,-6.91,4.0,-3.84,3.0,-3.17
Expert,dqn_baseline,0.0,-7.3,0.0,-5.79,6.0,-3.37
Expert,dqn_plr,0.0,-7.78,0.0,-7.79,3.0,-8.19
Expert,ppo,24.0,-5.4,29.0,-4.02,13.0,-4.54
Hard,dqn_accel,0.0,-4.43,25.0,5.72,31.0,9.06
Hard,dqn_baseline,0.0,-5.08,22.0,5.27,26.0,7.26
Hard,dqn_plr,0.0,-6.96,0.0,-6.51,35.0,-4.54
Hard,ppo,45.0,-3.07,28.0,-2.67,19.0,-1.63
Medium,dqn_accel,17.0,0.67,51.0,12.28,67.0,16.01
Medium,dqn_baseline,5.0,-0.9,52.0,12.83,64.0,15.29
Medium,dqn_plr,0.0,-5.62,0.0,-5.13,49.0,-2.32
Medium,ppo,72.0,0.74,62.0,3.2,77.0,8.33
